STT,Category,Rule ID,Severity,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Related Rules
1,Remote Backend,use-remote-backend,CRITICAL,"backend, remote, s3, gcs, azurerm, state",Use remote backend for team collaboration and state locking,"Configure S3/GCS/Azure Blob backend with state locking","Use local backend for team projects or production","terraform { backend ""s3"" { bucket = ""my-tf-state"" key = ""prod/terraform.tfstate"" region = ""us-east-1"" encrypt = true dynamodb_table = ""tf-locks"" } }","terraform { backend ""local"" { path = ""terraform.tfstate"" } }",state-encryption
2,State Encryption,state-encryption,CRITICAL,"encryption, state, kms, sensitive, data",Encrypt state files at rest,"Enable encryption on backend storage (S3 SSE, GCS encryption)","Store unencrypted state files","terraform { backend ""s3"" { bucket = ""my-tf-state"" key = ""terraform.tfstate"" encrypt = true kms_key_id = ""arn:aws:kms:us-east-1:123456789:key/xxx"" } }","terraform { backend ""s3"" { bucket = ""my-tf-state"" key = ""terraform.tfstate"" # No encryption } }",use-remote-backend
3,State Locking,enable-state-locking,CRITICAL,"locking, dynamodb, gcs, concurrent, state",Enable state locking to prevent concurrent modifications,"Configure DynamoDB table for S3 or native locking for GCS/Azure","Run terraform apply without state locking","terraform { backend ""s3"" { dynamodb_table = ""terraform-locks"" } } resource ""aws_dynamodb_table"" ""locks"" { name = ""terraform-locks"" billing_mode = ""PAY_PER_REQUEST"" hash_key = ""LockID"" attribute { name = ""LockID"" type = ""S"" } }","terraform { backend ""s3"" { bucket = ""my-state"" # No dynamodb_table - no locking } }",use-remote-backend
4,State Isolation,isolate-state-per-env,HIGH,"isolation, environment, workspace, state, separation",Separate state files per environment,"Use different state files/paths for dev/staging/prod","Share single state file across environments","# Option 1: Different keys terraform { backend ""s3"" { key = ""${var.environment}/terraform.tfstate"" } } # Option 2: Workspaces terraform workspace new prod terraform workspace new staging","terraform { backend ""s3"" { key = ""terraform.tfstate"" # Same state for all envs } }",use-workspaces
5,Workspace Usage,use-workspaces,MEDIUM,"workspace, environment, isolation, multi-env",Use workspaces for environment separation,"Use terraform workspace for managing multiple environments","Hardcode environment-specific values","locals { env = terraform.workspace } resource ""aws_instance"" ""web"" { instance_type = local.env == ""prod"" ? ""t3.large"" : ""t3.micro"" tags = { Environment = local.env } }","resource ""aws_instance"" ""web"" { instance_type = ""t3.large"" # Hardcoded, same for all envs }",isolate-state-per-env
6,State Security,no-state-in-vcs,CRITICAL,"git, vcs, state, gitignore, sensitive",Never commit state files to version control,"Add *.tfstate* to .gitignore, use remote backend","Commit terraform.tfstate to git repository","# .gitignore *.tfstate *.tfstate.* .terraform/ .terraform.lock.hcl","# Bad: Committing state to git git add terraform.tfstate git commit -m ""Update state""",use-remote-backend
7,State Access,restrict-state-access,HIGH,"access, iam, permission, state, security",Restrict access to state files using IAM policies,"Use IAM policies to limit who can read/write state","Allow broad access to state bucket","resource ""aws_s3_bucket_policy"" ""state"" { bucket = aws_s3_bucket.state.id policy = jsonencode({ Statement = [{ Effect = ""Allow"" Principal = { AWS = ""arn:aws:iam::123456789:role/terraform"" } Action = [""s3:GetObject"", ""s3:PutObject""] Resource = ""${aws_s3_bucket.state.arn}/*"" }] }) }","resource ""aws_s3_bucket"" ""state"" { bucket = ""tf-state"" } # Public or overly permissive access",state-encryption
8,State Backup,enable-state-versioning,HIGH,"versioning, backup, recovery, state, s3",Enable versioning on state bucket for recovery,"Enable S3 versioning to recover from corrupted state","Disable versioning on state bucket","resource ""aws_s3_bucket_versioning"" ""state"" { bucket = aws_s3_bucket.state.id versioning_configuration { status = ""Enabled"" } }","resource ""aws_s3_bucket"" ""state"" { bucket = ""tf-state"" } # No versioning - state loss risk",state-encryption
9,State Migration,plan-state-migration,MEDIUM,"migration, backend, mv, import, refactor",Plan state migrations carefully with backup,"Backup state, use terraform state mv for refactoring","Move resources without planning or backup","# Before migration terraform state pull > backup.tfstate # Move resource terraform state mv aws_instance.old aws_instance.new # Verify terraform plan","# Bad: Moving without backup terraform state mv aws_instance.old aws_instance.new # Oops, wrong move, no way back",enable-state-versioning
10,State Import,use-import-blocks,MEDIUM,"import, existing, resources, adoption, migration",Use import blocks for importing existing resources,"Use import blocks (TF 1.5+) for declarative imports","Use terraform import command without planning","# Terraform 1.5+ import block import { to = aws_instance.web id = ""i-1234567890abcdef0"" } resource ""aws_instance"" ""web"" { # ... configuration } # Then run: terraform plan","# Imperative import - harder to track terraform import aws_instance.web i-1234567890abcdef0",plan-state-migration
