STT,Category,Rule ID,Severity,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad,Compliance,Remediation,Documentation URL
1,Secrets Management,no-hardcoded-secrets,CRITICAL,"secrets, credentials, password, api-key, hardcoded",Never hardcode sensitive values in Terraform code,"Use variables, environment variables, or secrets manager for sensitive values","Hardcode passwords, API keys, or tokens in .tf files","variable ""db_password"" { type = string sensitive = true } resource ""aws_db_instance"" ""db"" { password = var.db_password }","resource ""aws_db_instance"" ""db"" { password = ""MyP@ssw0rd123"" }","SOC2, PCI-DSS, HIPAA","Move secrets to variables with sensitive=true or use AWS Secrets Manager/HashiCorp Vault",https://developer.hashicorp.com/terraform/language/values/variables#suppressing-values-in-cli-output
2,Secrets Management,use-secrets-manager,HIGH,"secrets, manager, vault, ssm, sensitive",Use dedicated secrets management services,"Store secrets in AWS Secrets Manager, HashiCorp Vault, or Parameter Store","Store secrets in environment variables or plain text files","data ""aws_secretsmanager_secret_version"" ""db"" { secret_id = aws_secretsmanager_secret.db.id } resource ""aws_db_instance"" ""db"" { password = data.aws_secretsmanager_secret_version.db.secret_string }","resource ""aws_db_instance"" ""db"" { password = var.db_password # from env var }","SOC2, PCI-DSS","Migrate secrets to secrets manager, update references",https://registry.terraform.io/providers/hashicorp/aws/latest/docs/data-sources/secretsmanager_secret_version
3,IAM Security,least-privilege-iam,CRITICAL,"iam, permission, policy, least-privilege, access",Use minimum required permissions for IAM policies,"Define specific actions, resources, and conditions","Use wildcard (*) permissions or overly broad policies","{ ""Effect"": ""Allow"", ""Action"": [""s3:GetObject"", ""s3:PutObject""], ""Resource"": ""arn:aws:s3:::my-bucket/*"" }","{ ""Effect"": ""Allow"", ""Action"": ""*"", ""Resource"": ""*"" }","SOC2, CIS, HIPAA","Review and restrict IAM policies to specific resources and actions",https://docs.aws.amazon.com/IAM/latest/UserGuide/best-practices.html#grant-least-privilege
4,IAM Security,no-root-access-keys,CRITICAL,"iam, root, access-key, security, account",Never create access keys for root account,"Use IAM users or roles with appropriate permissions","Create or use root account access keys","resource ""aws_iam_user"" ""admin"" { name = ""admin"" } resource ""aws_iam_user_policy_attachment"" ""admin"" { user = aws_iam_user.admin.name policy_arn = ""arn:aws:iam::aws:policy/AdministratorAccess"" }","# Using root credentials in provider - NEVER DO THIS provider ""aws"" { access_key = ""AKIAIOSFODNN7EXAMPLE"" secret_key = ""wJalrXUtnFEMI..."" }","CIS, SOC2","Delete root access keys, create IAM admin user with MFA",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_root-user.html
5,IAM Security,enable-mfa,HIGH,"iam, mfa, multi-factor, authentication, security",Enable MFA for IAM users and sensitive operations,"Require MFA for console access and sensitive API calls","Allow access without MFA for admin operations","resource ""aws_iam_user_login_profile"" ""admin"" { user = aws_iam_user.admin.name } # MFA enforced via policy condition: ""Condition"": { ""Bool"": { ""aws:MultiFactorAuthPresent"": ""true"" } }","resource ""aws_iam_user"" ""admin"" { name = ""admin"" } # No MFA requirement","SOC2, CIS, PCI-DSS","Create MFA devices for users, add MFA condition to policies",https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa.html
6,Encryption,encrypt-at-rest,CRITICAL,"encryption, at-rest, kms, storage, data",Enable encryption for all data at rest,"Enable encryption on S3, RDS, EBS, and all storage services","Leave storage resources unencrypted","resource ""aws_s3_bucket_server_side_encryption_configuration"" ""encrypted"" { bucket = aws_s3_bucket.data.id rule { apply_server_side_encryption_by_default { sse_algorithm = ""aws:kms"" kms_master_key_id = aws_kms_key.main.arn } } }","resource ""aws_s3_bucket"" ""data"" { bucket = ""my-bucket"" # No encryption configured }","SOC2, HIPAA, PCI-DSS, GDPR","Enable encryption with SSE-KMS or SSE-S3",https://docs.aws.amazon.com/AmazonS3/latest/userguide/bucket-encryption.html
7,Encryption,encrypt-in-transit,CRITICAL,"encryption, transit, tls, ssl, https, network",Use TLS/SSL for all data in transit,"Enforce HTTPS, use TLS 1.2+, configure secure listeners","Allow unencrypted HTTP traffic for sensitive data","resource ""aws_lb_listener"" ""https"" { load_balancer_arn = aws_lb.main.arn port = 443 protocol = ""HTTPS"" ssl_policy = ""ELBSecurityPolicy-TLS-1-2-2017-01"" certificate_arn = aws_acm_certificate.main.arn }","resource ""aws_lb_listener"" ""http"" { load_balancer_arn = aws_lb.main.arn port = 80 protocol = ""HTTP"" # Unencrypted traffic }","SOC2, HIPAA, PCI-DSS","Configure HTTPS listeners, redirect HTTP to HTTPS",https://docs.aws.amazon.com/elasticloadbalancing/latest/application/create-https-listener.html
8,Network Security,restrict-security-groups,CRITICAL,"security-group, ingress, egress, firewall, cidr",Restrict security group rules to required ports and sources,"Specify exact ports and source CIDR blocks","Use 0.0.0.0/0 for all ports or allow all traffic","resource ""aws_security_group_rule"" ""https"" { type = ""ingress"" from_port = 443 to_port = 443 protocol = ""tcp"" cidr_blocks = [""10.0.0.0/8""] security_group_id = aws_security_group.web.id }","resource ""aws_security_group_rule"" ""all"" { type = ""ingress"" from_port = 0 to_port = 65535 protocol = ""-1"" cidr_blocks = [""0.0.0.0/0""] security_group_id = aws_security_group.web.id }","CIS, SOC2, PCI-DSS","Review and restrict security group rules to specific ports/CIDRs",https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html
9,Network Security,use-private-subnets,HIGH,"subnet, private, public, network, isolation",Place sensitive resources in private subnets,"Use private subnets for databases, app servers, internal services","Place databases or sensitive workloads in public subnets","resource ""aws_db_instance"" ""db"" { db_subnet_group_name = aws_db_subnet_group.private.name publicly_accessible = false }","resource ""aws_db_instance"" ""db"" { publicly_accessible = true # Database exposed to internet }","CIS, SOC2, HIPAA","Move sensitive resources to private subnets, use NAT gateway for outbound",https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Scenario2.html
10,Network Security,enable-vpc-flow-logs,HIGH,"vpc, flow-logs, network, monitoring, audit",Enable VPC Flow Logs for network traffic monitoring,"Enable flow logs for all VPCs, send to CloudWatch or S3","Run without network traffic visibility","resource ""aws_flow_log"" ""main"" { iam_role_arn = aws_iam_role.flow_log.arn log_destination = aws_cloudwatch_log_group.flow_log.arn traffic_type = ""ALL"" vpc_id = aws_vpc.main.id }","resource ""aws_vpc"" ""main"" { cidr_block = ""10.0.0.0/16"" # No flow logs configured }","CIS, SOC2, PCI-DSS","Create flow log resource, configure destination (CloudWatch/S3)",https://docs.aws.amazon.com/vpc/latest/userguide/flow-logs.html
