STT,Architecture Type,Keywords,Recommended Provider,Recommended Pattern,Module Priority,Security Priority,State Strategy,Cost Strategy,Complexity,Decision Rules
1,Web Application,"web, app, website, frontend, backend, api, enterprise",aws,"Three-Tier Web Application","terraform-aws-vpc, terraform-aws-alb, terraform-aws-rds","encrypt-at-rest, restrict-security-groups, use-private-subnets",isolate-state-per-env,"right-sizing, auto-scaling",Medium,"{""high_availability"": ""multi-az"", ""scale"": ""auto-scaling""}"
2,Microservices,"microservices, container, docker, kubernetes, k8s, eks, aks, gke",aws,"Microservices on Kubernetes","terraform-aws-eks, terraform-aws-ecr, terraform-aws-vpc","enable-cluster-logging, enable-secrets-encryption, private-cluster-endpoint",isolate-state-per-env,"spot-instances, right-sizing",High,"{""orchestration"": ""kubernetes"", ""service_mesh"": ""istio""}"
3,Serverless,"serverless, lambda, function, api-gateway, event, faas",aws,"Serverless API","terraform-aws-lambda, terraform-aws-s3-bucket, terraform-aws-dynamodb-table","lambda-vpc, lambda-reserved-concurrency, encrypt-at-rest",isolate-state-per-env,"pay-per-use, lifecycle-policies",Low,"{""compute"": ""lambda"", ""database"": ""dynamodb""}"
4,Data Lake,"data, lake, analytics, big-data, etl, warehouse, bi",aws,"Data Lake","terraform-aws-s3-bucket, terraform-aws-iam","block-public-access, enable-versioning, encrypt-at-rest",isolate-state-per-env,"lifecycle-policies, storage-class",Medium,"{""storage"": ""s3"", ""query"": ""athena""}"
5,E-commerce,"ecommerce, shop, store, retail, cart, payment",aws,"Three-Tier Web Application","terraform-aws-vpc, terraform-aws-rds, terraform-aws-cloudfront, terraform-aws-alb","encrypt-in-transit, encrypt-at-rest, enable-cloudtrail",isolate-state-per-env,"reserved-capacity, cdn-caching",High,"{""compliance"": ""pci-dss"", ""cdn"": ""cloudfront""}"
6,SaaS Platform,"saas, multi-tenant, subscription, platform, b2b",aws,"Microservices on Kubernetes","terraform-aws-eks, terraform-aws-rds, terraform-aws-elasticache","least-privilege-iam, enable-secrets-encryption, enable-rds-encryption",isolate-state-per-env,"reserved-capacity, multi-tenant-isolation",High,"{""multi_tenant"": true, ""isolation"": ""namespace""}"
7,Machine Learning,"ml, ai, machine-learning, training, inference, model",aws,"Machine Learning Platform","terraform-aws-s3-bucket, terraform-aws-iam, terraform-aws-ecr","encrypt-at-rest, least-privilege-iam, enable-versioning",isolate-state-per-env,"spot-instances, auto-scaling",High,"{""compute"": ""sagemaker"", ""storage"": ""s3""}"
8,CI/CD Pipeline,"cicd, pipeline, devops, automation, deployment, jenkins",aws,"GitOps Infrastructure","terraform-aws-ecr, terraform-aws-iam, terraform-aws-s3-bucket","least-privilege-iam, no-hardcoded-secrets, use-secrets-manager",use-workspaces,"right-sizing, spot-instances",Medium,"{""source"": ""github"", ""registry"": ""ecr""}"
9,Static Website,"static, website, blog, portfolio, spa, jamstack",aws,"Static Website with CDN","terraform-aws-s3-bucket, terraform-aws-cloudfront, terraform-aws-acm","block-public-access, encrypt-in-transit","single-state","lifecycle-policies, cdn-caching",Low,"{""hosting"": ""s3"", ""cdn"": ""cloudfront""}"
10,IoT Platform,"iot, device, sensor, mqtt, streaming, real-time",aws,"Event-Driven Architecture","terraform-aws-iam, terraform-aws-dynamodb-table, terraform-aws-lambda","encrypt-in-transit, least-privilege-iam, enable-state-locking",isolate-state-per-env,"pay-per-use, auto-scaling",High,"{""messaging"": ""iot-core"", ""processing"": ""lambda""}"
