STT,Module Name,Source,Provider,Category,Keywords,Description,Input Variables,Output Values,Use Cases,Best Practices,Example Usage,Documentation URL,Complexity
1,terraform-aws-vpc,terraform-aws-modules/vpc/aws,aws,Networking,"vpc, network, subnet, nat, igw, routing",Complete VPC with subnets NAT gateways and routing,"name, cidr, azs, private_subnets, public_subnets, enable_nat_gateway, single_nat_gateway","vpc_id, private_subnets, public_subnets, nat_public_ips, vpc_cidr_block","Production VPC, multi-AZ networking, public/private subnet architecture","Use at least 2 AZs, enable DNS, configure NAT for private subnets","module ""vpc"" { source = ""terraform-aws-modules/vpc/aws"" version = ""5.0.0"" name = ""my-vpc"" cidr = ""10.0.0.0/16"" azs = [""us-east-1a"", ""us-east-1b""] private_subnets = [""10.0.1.0/24"", ""10.0.2.0/24""] public_subnets = [""10.0.101.0/24"", ""10.0.102.0/24""] enable_nat_gateway = true }",https://registry.terraform.io/modules/terraform-aws-modules/vpc/aws,Medium
2,terraform-aws-eks,terraform-aws-modules/eks/aws,aws,Containers,"eks, kubernetes, k8s, cluster, managed, container",Production-ready EKS cluster with managed node groups,"cluster_name, cluster_version, vpc_id, subnet_ids, eks_managed_node_groups","cluster_endpoint, cluster_certificate_authority_data, cluster_name, oidc_provider_arn","Production Kubernetes, microservices, container workloads","Use managed node groups, enable IRSA, configure cluster logging","module ""eks"" { source = ""terraform-aws-modules/eks/aws"" version = ""19.0.0"" cluster_name = ""my-cluster"" cluster_version = ""1.28"" vpc_id = module.vpc.vpc_id subnet_ids = module.vpc.private_subnets eks_managed_node_groups = { default = { min_size = 1 max_size = 10 desired_size = 3 instance_types = [""t3.medium""] } } }",https://registry.terraform.io/modules/terraform-aws-modules/eks/aws,High
3,terraform-aws-rds,terraform-aws-modules/rds/aws,aws,Database,"rds, database, postgres, mysql, aurora, managed",RDS instance or Aurora cluster with best practices,"identifier, engine, engine_version, instance_class, allocated_storage, db_name, username, password, vpc_security_group_ids, subnet_ids","db_instance_address, db_instance_endpoint, db_instance_name, db_instance_port","Managed databases, PostgreSQL, MySQL, production databases","Enable multi-AZ, encryption, automated backups, use parameter groups","module ""rds"" { source = ""terraform-aws-modules/rds/aws"" version = ""6.0.0"" identifier = ""my-db"" engine = ""postgres"" engine_version = ""15"" instance_class = ""db.t3.micro"" allocated_storage = 20 db_name = ""mydb"" username = ""admin"" password = var.db_password vpc_security_group_ids = [module.security_group.security_group_id] subnet_ids = module.vpc.database_subnets multi_az = true storage_encrypted = true }",https://registry.terraform.io/modules/terraform-aws-modules/rds/aws,Medium
4,terraform-aws-s3-bucket,terraform-aws-modules/s3-bucket/aws,aws,Storage,"s3, bucket, storage, object, static, files",S3 bucket with versioning encryption and policies,"bucket, acl, versioning, server_side_encryption_configuration, block_public_access","s3_bucket_id, s3_bucket_arn, s3_bucket_bucket_domain_name","Static hosting, data lake, backup storage, artifact storage","Enable versioning, block public access, use lifecycle rules","module ""s3_bucket"" { source = ""terraform-aws-modules/s3-bucket/aws"" version = ""3.0.0"" bucket = ""my-bucket"" versioning = { enabled = true } server_side_encryption_configuration = { rule = { apply_server_side_encryption_by_default = { sse_algorithm = ""AES256"" } } } block_public_access = true }",https://registry.terraform.io/modules/terraform-aws-modules/s3-bucket/aws,Low
5,terraform-aws-lambda,terraform-aws-modules/lambda/aws,aws,Serverless,"lambda, function, serverless, api, event",Lambda function with IAM role and CloudWatch logs,"function_name, handler, runtime, source_path","lambda_function_arn, lambda_function_name, lambda_role_arn","Serverless APIs, event processing, scheduled tasks","Use layers for dependencies, set appropriate memory/timeout, enable X-Ray","module ""lambda"" { source = ""terraform-aws-modules/lambda/aws"" version = ""6.0.0"" function_name = ""my-function"" handler = ""index.handler"" runtime = ""nodejs18.x"" source_path = ""./src"" environment_variables = { LOG_LEVEL = ""info"" } }",https://registry.terraform.io/modules/terraform-aws-modules/lambda/aws,Medium
6,terraform-aws-security-group,terraform-aws-modules/security-group/aws,aws,Security,"security, group, firewall, ingress, egress, rules",Security group with predefined rules,"name, vpc_id, ingress_rules, egress_rules, ingress_cidr_blocks","security_group_id, security_group_arn, security_group_name","Web servers, databases, application firewalls","Use predefined rules, separate SG per service, restrict CIDR blocks","module ""security_group"" { source = ""terraform-aws-modules/security-group/aws"" version = ""5.0.0"" name = ""web-sg"" vpc_id = module.vpc.vpc_id ingress_rules = [""https-443-tcp"", ""http-80-tcp""] ingress_cidr_blocks = [""0.0.0.0/0""] egress_rules = [""all-all""] }",https://registry.terraform.io/modules/terraform-aws-modules/security-group/aws,Low
7,terraform-aws-iam,terraform-aws-modules/iam/aws,aws,IAM,"iam, role, policy, user, permission, identity",IAM roles users and policies,"role_name, assume_role_policy, policies","iam_role_arn, iam_role_name, iam_policy_arn","Service roles, cross-account access, CI/CD permissions","Use least privilege, prefer managed policies, use conditions","module ""iam_assumable_role"" { source = ""terraform-aws-modules/iam/aws//modules/iam-assumable-role"" version = ""5.0.0"" create_role = true role_name = ""my-role"" role_requires_mfa = true trusted_role_arns = [""arn:aws:iam::123456789012:root""] custom_role_policy_arns = [""arn:aws:iam::aws:policy/ReadOnlyAccess""] }",https://registry.terraform.io/modules/terraform-aws-modules/iam/aws,Medium
8,terraform-aws-alb,terraform-aws-modules/alb/aws,aws,Networking,"alb, load, balancer, http, https, routing",Application Load Balancer with listeners and target groups,"name, vpc_id, subnets, security_groups, target_groups, http_tcp_listeners, https_listeners","lb_arn, lb_dns_name, target_group_arns, http_listener_arns","Web applications, API routing, microservices ingress","Use HTTPS listeners, configure health checks, enable WAF","module ""alb"" { source = ""terraform-aws-modules/alb/aws"" version = ""8.0.0"" name = ""my-alb"" vpc_id = module.vpc.vpc_id subnets = module.vpc.public_subnets security_groups = [module.security_group.security_group_id] target_groups = [{ name = ""tg"" backend_protocol = ""HTTP"" backend_port = 80 target_type = ""ip"" }] }",https://registry.terraform.io/modules/terraform-aws-modules/alb/aws,Medium
9,terraform-aws-cloudfront,terraform-aws-modules/cloudfront/aws,aws,CDN,"cloudfront, cdn, distribution, cache, edge",CloudFront distribution with origins and behaviors,"aliases, comment, default_root_object, origin, default_cache_behavior","cloudfront_distribution_id, cloudfront_distribution_arn, cloudfront_distribution_domain_name","Static websites, API acceleration, global content delivery","Use OAI for S3, configure cache behaviors, enable WAF","module ""cloudfront"" { source = ""terraform-aws-modules/cloudfront/aws"" version = ""3.0.0"" aliases = [""example.com""] default_root_object = ""index.html"" origin = { s3 = { domain_name = module.s3_bucket.s3_bucket_bucket_regional_domain_name s3_origin_config = { origin_access_identity = ""origin-access-identity/cloudfront/XXXXXX"" } } } }",https://registry.terraform.io/modules/terraform-aws-modules/cloudfront/aws,High
10,terraform-aws-acm,terraform-aws-modules/acm/aws,aws,Security,"acm, certificate, ssl, tls, https",ACM certificate with DNS validation,"domain_name, zone_id, subject_alternative_names","acm_certificate_arn, acm_certificate_domain_validation_options","HTTPS endpoints, ALB certificates, CloudFront SSL","Use DNS validation, include wildcard SANs, set lifecycle","module ""acm"" { source = ""terraform-aws-modules/acm/aws"" version = ""5.0.0"" domain_name = ""example.com"" zone_id = aws_route53_zone.main.zone_id subject_alternative_names = [""*.example.com""] wait_for_validation = true }",https://registry.terraform.io/modules/terraform-aws-modules/acm/aws,Low
