STT,Resource Type,Provider,Category,Keywords,Description,Required Arguments,Optional Arguments,Best Practices,Common Mistakes,Example Code,Related Resources,Complexity
1,aws_vpc,aws,Networking,"vpc, network, cidr, cloud, foundation",Virtual Private Cloud - foundation for AWS networking,"cidr_block","enable_dns_hostnames, enable_dns_support, tags","Enable DNS hostnames for private DNS, use /16 or /20 CIDR for flexibility","Using too small CIDR block, not enabling DNS support","resource ""aws_vpc"" ""main"" { cidr_block = ""10.0.0.0/16"" enable_dns_hostnames = true tags = { Name = ""main-vpc"" } }","aws_subnet, aws_internet_gateway, aws_nat_gateway",Low
2,aws_subnet,aws,Networking,"subnet, network, availability, zone, public, private",Subnet within a VPC for resource isolation,"vpc_id, cidr_block","availability_zone, map_public_ip_on_launch, tags","Create subnets in multiple AZs, separate public/private subnets","All subnets in single AZ, overlapping CIDR blocks","resource ""aws_subnet"" ""public"" { vpc_id = aws_vpc.main.id cidr_block = ""10.0.1.0/24"" availability_zone = ""us-east-1a"" map_public_ip_on_launch = true }","aws_vpc, aws_route_table_association",Low
3,aws_security_group,aws,Security,"security, group, firewall, ingress, egress, rules",Virtual firewall for controlling traffic,"vpc_id","name, description, ingress, egress, tags","Use separate SGs per service, restrict ingress to required ports only","Opening 0.0.0.0/0 to all ports, not setting egress rules","resource ""aws_security_group"" ""web"" { vpc_id = aws_vpc.main.id ingress { from_port = 443 to_port = 443 protocol = ""tcp"" cidr_blocks = [""0.0.0.0/0""] } }","aws_security_group_rule, aws_vpc",Medium
4,aws_instance,aws,Compute,"ec2, instance, server, compute, virtual, machine",EC2 instance for compute workloads,"ami, instance_type","key_name, vpc_security_group_ids, subnet_id, user_data, iam_instance_profile, tags","Use launch templates instead, enable detailed monitoring, use IMDSv2","Hardcoding AMI IDs, not using IAM roles, public IPs on private instances","resource ""aws_instance"" ""web"" { ami = data.aws_ami.ubuntu.id instance_type = ""t3.micro"" subnet_id = aws_subnet.private.id vpc_security_group_ids = [aws_security_group.web.id] }","aws_launch_template, aws_ami, aws_ebs_volume",Medium
5,aws_s3_bucket,aws,Storage,"s3, bucket, storage, object, files, static",S3 bucket for object storage,"bucket","acl, versioning, encryption, lifecycle_rule, tags","Enable versioning, encryption, block public access by default","Public buckets, no encryption, no lifecycle rules","resource ""aws_s3_bucket"" ""data"" { bucket = ""my-unique-bucket-name"" } resource ""aws_s3_bucket_versioning"" ""data"" { bucket = aws_s3_bucket.data.id versioning_configuration { status = ""Enabled"" } }","aws_s3_bucket_policy, aws_s3_bucket_public_access_block",Medium
6,aws_rds_instance,aws,Database,"rds, database, mysql, postgres, sql, managed",Managed relational database instance,"allocated_storage, engine, instance_class, username, password","multi_az, backup_retention_period, storage_encrypted, vpc_security_group_ids, db_subnet_group_name","Enable multi-AZ, encryption, automated backups, use secrets manager for credentials","Storing passwords in state, single AZ, no encryption","resource ""aws_rds_instance"" ""db"" { allocated_storage = 20 engine = ""postgres"" engine_version = ""15"" instance_class = ""db.t3.micro"" db_name = ""mydb"" username = ""admin"" password = var.db_password multi_az = true storage_encrypted = true }","aws_db_subnet_group, aws_db_parameter_group",High
7,aws_lambda_function,aws,Serverless,"lambda, function, serverless, event, code",Serverless compute function,"function_name, role, runtime, handler","filename, s3_bucket, s3_key, environment, timeout, memory_size, vpc_config","Use environment variables, set appropriate timeout/memory, use layers for dependencies","Too long timeout, not handling cold starts, no error handling","resource ""aws_lambda_function"" ""api"" { function_name = ""api-handler"" role = aws_iam_role.lambda.arn handler = ""index.handler"" runtime = ""nodejs18.x"" filename = data.archive_file.lambda.output_path }","aws_lambda_permission, aws_cloudwatch_log_group",Medium
8,aws_iam_role,aws,IAM,"iam, role, permission, policy, security, identity",IAM role for AWS service access,"assume_role_policy","name, description, managed_policy_arns, inline_policy, tags","Use least privilege, prefer managed policies, enable MFA for sensitive roles","Too permissive policies, not using conditions, inline policies","resource ""aws_iam_role"" ""lambda"" { name = ""lambda-execution-role"" assume_role_policy = jsonencode({ Version = ""2012-10-17"" Statement = [{ Action = ""sts:AssumeRole"" Effect = ""Allow"" Principal = { Service = ""lambda.amazonaws.com"" } }] }) }","aws_iam_policy, aws_iam_role_policy_attachment",Medium
9,aws_eks_cluster,aws,Containers,"eks, kubernetes, k8s, container, orchestration, managed",Managed Kubernetes cluster,"name, role_arn, vpc_config","version, enabled_cluster_log_types, encryption_config, tags","Enable logging, use managed node groups, enable secrets encryption","Not enabling logging, manual node management, public endpoint without restrictions","resource ""aws_eks_cluster"" ""main"" { name = ""my-cluster"" role_arn = aws_iam_role.eks_cluster.arn vpc_config { subnet_ids = aws_subnet.private[*].id endpoint_private_access = true } }","aws_eks_node_group, aws_eks_addon",High
10,aws_lb,aws,Networking,"alb, nlb, load, balancer, elb, traffic, distribution",Application/Network Load Balancer,"name, load_balancer_type","subnets, security_groups, internal, idle_timeout, access_logs","Use ALB for HTTP, NLB for TCP/UDP, enable access logs, use WAF with ALB","Wrong LB type, no health checks, missing access logs","resource ""aws_lb"" ""main"" { name = ""main-alb"" load_balancer_type = ""application"" security_groups = [aws_security_group.alb.id] subnets = aws_subnet.public[*].id enable_deletion_protection = true }","aws_lb_listener, aws_lb_target_group",Medium
