STT,Category,Rule ID,Severity,Keywords,Description,Do,Don't,Code Example Good,Code Example Bad
1,Code Structure,use-modules,HIGH,"module, reusable, dry, organization, structure",Organize code into reusable modules,"Create modules for repeated patterns, use registry modules","Copy-paste code between projects","module ""vpc"" { source = ""./modules/vpc"" cidr_block = var.vpc_cidr environment = var.environment }","resource ""aws_vpc"" ""main"" { cidr_block = ""10.0.0.0/16"" } # Repeated in every project"
2,Code Structure,file-organization,MEDIUM,"file, structure, organization, main, variables, outputs",Organize files consistently across projects,"Use standard file structure: main.tf, variables.tf, outputs.tf, providers.tf","Put everything in one large file","# Standard structure: # main.tf - resources # variables.tf - inputs # outputs.tf - outputs # providers.tf - provider config # versions.tf - version constraints","# Bad: Everything in main.tf # 2000 lines of mixed resources, variables, outputs"
3,Code Structure,use-locals,MEDIUM,"locals, dry, computed, values, organization",Use locals for computed and repeated values,"Define computed values in locals block","Repeat complex expressions throughout code","locals { common_tags = { Environment = var.environment Project = var.project ManagedBy = ""terraform"" } } resource ""aws_instance"" ""web"" { tags = local.common_tags }","resource ""aws_instance"" ""web"" { tags = { Environment = var.environment Project = var.project } } # Repeated everywhere"
4,Variables,variable-descriptions,MEDIUM,"variable, description, documentation, input, clarity",Add descriptions to all variables,"Include description and type for every variable","Define variables without descriptions","variable ""environment"" { type = string description = ""Environment name (dev, staging, prod)"" validation { condition = contains([""dev"", ""staging"", ""prod""], var.environment) error_message = ""Environment must be dev, staging, or prod."" } }","variable ""environment"" { } # No type, description, or validation"
5,Variables,variable-defaults,MEDIUM,"variable, default, optional, required, input",Use sensible defaults where appropriate,"Provide defaults for optional variables, require critical ones","Default everything or require everything","variable ""instance_type"" { type = string default = ""t3.micro"" description = ""EC2 instance type"" } variable ""vpc_id"" { type = string description = ""VPC ID - required"" # No default = required }","variable ""environment"" { default = ""prod"" # Dangerous default } variable ""instance_count"" { # No default for optional value }"
6,Variables,variable-validation,HIGH,"variable, validation, constraint, input, error",Add validation rules to variables,"Use validation blocks to catch errors early","Accept any value without validation","variable ""environment"" { type = string validation { condition = contains([""dev"", ""staging"", ""prod""], var.environment) error_message = ""Valid values: dev, staging, prod."" } } variable ""cidr_block"" { type = string validation { condition = can(cidrhost(var.cidr_block, 0)) error_message = ""Must be valid CIDR notation."" } }","variable ""environment"" { type = string # Any value accepted, errors at apply time }"
7,Outputs,meaningful-outputs,MEDIUM,"output, export, value, composition, integration",Export meaningful values for composition,"Output IDs, ARNs, endpoints needed by other configs","Output everything or nothing useful","output ""vpc_id"" { value = aws_vpc.main.id description = ""VPC ID for use in other modules"" } output ""private_subnet_ids"" { value = aws_subnet.private[*].id description = ""List of private subnet IDs"" }","output ""vpc"" { value = aws_vpc.main # Entire resource - too much }"
8,Versioning,pin-provider-versions,CRITICAL,"provider, version, constraint, lock, stability",Pin provider versions to prevent breaking changes,"Use version constraints in required_providers","Allow any provider version","terraform { required_providers { aws = { source = ""hashicorp/aws"" version = ""~> 5.0"" } } required_version = "">= 1.5.0"" }","terraform { required_providers { aws = { source = ""hashicorp/aws"" # No version - uses latest } } }"
9,Versioning,pin-module-versions,HIGH,"module, version, source, constraint, stability",Pin module versions in module source,"Specify version for registry modules, commit hash for git","Use unversioned module sources","module ""vpc"" { source = ""terraform-aws-modules/vpc/aws"" version = ""5.0.0"" }","module ""vpc"" { source = ""terraform-aws-modules/vpc/aws"" # No version - uses latest }"
10,Naming,consistent-naming,HIGH,"naming, convention, resource, identifier, standard",Use consistent naming conventions,"Follow pattern: project-env-resource-identifier","Use inconsistent or unclear names","resource ""aws_instance"" ""myproject_prod_web_001"" { tags = { Name = ""myproject-prod-web-001"" } }","resource ""aws_instance"" ""instance1"" { tags = { Name = ""my server"" } }"
11,Naming,use-snake-case,LOW,"naming, snake, case, resource, terraform",Use snake_case for Terraform identifiers,"Use snake_case for resource names, variables, outputs","Mix naming styles (camelCase, kebab-case)","resource ""aws_instance"" ""web_server"" { } variable ""instance_count"" { } output ""vpc_id"" { }","resource ""aws_instance"" ""webServer"" { } variable ""instanceCount"" { }"
12,Tagging,mandatory-tags,HIGH,"tags, mandatory, cost, owner, environment, compliance",Apply mandatory tags to all resources,"Include Environment, Project, Owner, ManagedBy tags","Create resources without proper tagging","locals { mandatory_tags = { Environment = var.environment Project = var.project Owner = var.owner ManagedBy = ""terraform"" CostCenter = var.cost_center } } resource ""aws_instance"" ""web"" { tags = merge(local.mandatory_tags, { Name = ""web-server"" }) }","resource ""aws_instance"" ""web"" { tags = { Name = ""web"" } # Missing mandatory tags }"
13,Tagging,use-default-tags,MEDIUM,"tags, default, provider, automatic, aws",Use provider default_tags for automatic tagging,"Configure default_tags in AWS provider","Manually add same tags to every resource","provider ""aws"" { region = var.region default_tags { tags = { Environment = var.environment ManagedBy = ""terraform"" Project = var.project } } }","# Adding same tags to every resource manually resource ""aws_instance"" ""web"" { tags = { Environment = var.environment ManagedBy = ""terraform"" } } resource ""aws_s3_bucket"" ""data"" { tags = { Environment = var.environment ManagedBy = ""terraform"" } }"
14,Data Sources,prefer-data-sources,MEDIUM,"data, source, existing, lookup, reference",Use data sources to reference existing resources,"Use data sources for resources managed elsewhere","Hardcode IDs or ARNs","data ""aws_ami"" ""ubuntu"" { most_recent = true owners = [""099720109477""] filter { name = ""name"" values = [""ubuntu/images/hvm-ssd/ubuntu-*-22.04-amd64-server-*""] } } resource ""aws_instance"" ""web"" { ami = data.aws_ami.ubuntu.id }","resource ""aws_instance"" ""web"" { ami = ""ami-0123456789abcdef0"" # Hardcoded, region-specific }"
15,Dependencies,explicit-depends-on,LOW,"depends, on, dependency, order, explicit",Use depends_on only when necessary,"Use implicit dependencies through references","Overuse depends_on for all resources","# Implicit dependency (preferred) resource ""aws_instance"" ""web"" { subnet_id = aws_subnet.main.id # Implicit dependency } # Explicit only when needed resource ""aws_instance"" ""web"" { depends_on = [aws_iam_role_policy_attachment.web] # No direct reference }","resource ""aws_instance"" ""web"" { depends_on = [ aws_vpc.main, aws_subnet.main, aws_security_group.web, ] # Unnecessary explicit dependencies }"
16,Lifecycle,use-lifecycle-rules,MEDIUM,"lifecycle, prevent, destroy, ignore, create",Use lifecycle rules to control resource behavior,"Use prevent_destroy for critical resources, ignore_changes for external modifications","Ignore lifecycle management for important resources","resource ""aws_db_instance"" ""main"" { lifecycle { prevent_destroy = true } } resource ""aws_instance"" ""web"" { lifecycle { ignore_changes = [tags[""LastModified""]] # External automation } }","resource ""aws_db_instance"" ""main"" { # No protection - could be accidentally destroyed }"
17,Count vs For_each,prefer-for-each,MEDIUM,"for_each, count, iteration, map, set",Prefer for_each over count for resources,"Use for_each with maps/sets for stable addressing","Use count with index-based addressing","resource ""aws_subnet"" ""private"" { for_each = toset(var.availability_zones) availability_zone = each.value cidr_block = cidrsubnet(var.vpc_cidr, 8, index(var.availability_zones, each.value)) }","resource ""aws_subnet"" ""private"" { count = length(var.availability_zones) availability_zone = var.availability_zones[count.index] # Index changes cause recreation }"
18,Formatting,run-fmt,LOW,"fmt, format, style, consistent, code",Run terraform fmt before committing,"Run terraform fmt -recursive on all code","Commit unformatted code","# Format all files terraform fmt -recursive # Check formatting in CI terraform fmt -check -recursive","# Inconsistent formatting resource ""aws_instance""""web"" { ami=""ami-123"" instance_type = ""t3.micro"" }"
19,Validation,run-validate,MEDIUM,"validate, check, syntax, error, ci",Run terraform validate in CI/CD,"Include terraform validate in CI pipeline","Deploy without validation","# CI pipeline steps - terraform init - terraform validate - terraform plan","# Skipping validation # terraform plan # May fail with confusing errors"
20,Documentation,use-terraform-docs,MEDIUM,"docs, documentation, readme, module, auto",Generate documentation with terraform-docs,"Use terraform-docs to auto-generate module docs","Manually maintain documentation","# Generate docs terraform-docs markdown table . > README.md # Or use pre-commit hook # .pre-commit-config.yaml repos: - repo: https://github.com/terraform-docs/terraform-docs","# Manually written docs that get out of sync # README.md - Variables: (outdated list)"
