STT,Pattern Name,Category,Keywords,Description,Cloud Providers,Components,Terraform Structure,Use Cases,Benefits,Considerations,Example Architecture,Complexity
1,Three-Tier Web Application,Web Architecture,"three-tier, web, app, database, classic, enterprise",Traditional web application with presentation app and data tiers,"AWS, Azure, GCP","Load Balancer, Web Servers, App Servers, Database, Cache","modules/networking, modules/compute, modules/database, modules/cache","Enterprise applications, e-commerce, CMS, traditional web apps","Clear separation of concerns, scalable, well-understood pattern","May be overkill for simple apps, consider serverless for variable loads","ALB -> EC2 Auto Scaling (Web) -> EC2 Auto Scaling (App) -> RDS Multi-AZ + ElastiCache",Medium
2,Microservices on Kubernetes,Containers,"microservices, kubernetes, k8s, eks, aks, gke, container",Container-based microservices with service mesh,"AWS (EKS), Azure (AKS), GCP (GKE)","Kubernetes Cluster, Ingress Controller, Service Mesh, Container Registry, Secrets Management","modules/cluster, modules/namespaces, modules/services, modules/ingress, modules/monitoring","Microservices, cloud-native apps, high scalability requirements","Independent scaling, technology flexibility, resilience","Operational complexity, requires K8s expertise, distributed tracing needed","EKS Cluster -> ALB Ingress -> Services (Istio mesh) -> Pods -> RDS/DynamoDB",High
3,Serverless API,Serverless,"serverless, lambda, api-gateway, functions, event-driven",Event-driven serverless architecture with managed services,"AWS, Azure, GCP","API Gateway, Lambda Functions, DynamoDB/Cosmos, S3/Blob, SQS/Service Bus","modules/api, modules/functions, modules/storage, modules/queues","APIs, event processing, variable workloads, cost-sensitive projects","Pay-per-use, auto-scaling, no server management, fast development","Cold starts, execution limits, vendor lock-in, debugging complexity","API Gateway -> Lambda -> DynamoDB + S3 + SQS",Low
4,Data Lake,Data Architecture,"data-lake, analytics, big-data, s3, gcs, etl, warehouse",Centralized data repository for analytics and ML,"AWS, Azure, GCP","Object Storage, ETL/Glue, Data Catalog, Query Engine, BI Tools","modules/storage, modules/etl, modules/catalog, modules/analytics","Big data analytics, ML/AI pipelines, business intelligence","Schema-on-read flexibility, cost-effective storage, multiple query engines","Data governance complexity, requires data engineering expertise","S3 (Raw/Processed/Curated) -> Glue ETL -> Glue Catalog -> Athena/Redshift",Medium
5,Multi-Region Active-Active,High Availability,"multi-region, active-active, global, disaster-recovery, ha",Globally distributed application with active instances in multiple regions,"AWS, Azure, GCP","Global Load Balancer, Regional Clusters, Database Replication, CDN","environments/region-1, environments/region-2, modules/global, modules/regional","Global applications, zero-downtime requirements, data sovereignty","Highest availability, low latency globally, regional compliance","Complexity, cost, data consistency challenges, conflict resolution","Route53 (Latency) -> CloudFront -> Regional ALB -> Regional EKS -> Aurora Global",High
6,Multi-Region Active-Passive,Disaster Recovery,"multi-region, active-passive, dr, failover, backup",Primary region with standby region for disaster recovery,"AWS, Azure, GCP","Primary Infrastructure, Standby Infrastructure, Replication, DNS Failover","environments/primary, environments/secondary, modules/replication","Business continuity, compliance requirements, cost-effective DR","Lower cost than active-active, clear failover process","RTO/RPO tradeoffs, failover testing required, potential data loss","Primary: Full Stack -> Secondary: Warm Standby -> Route53 Health Check Failover",Medium
7,Hub-and-Spoke Network,Networking,"hub-spoke, transit, networking, vpn, peering, firewall",Centralized network topology with shared services hub,"AWS, Azure, GCP","Transit Gateway/Hub VNet, Spoke VPCs/VNets, Firewall, VPN Gateway","modules/hub, modules/spokes, modules/connectivity, modules/security","Multi-account/subscription environments, centralized security, shared services","Centralized control, simplified connectivity, security inspection","Single point of failure, traffic costs, complexity scaling","Transit Gateway Hub -> Spoke VPCs (Dev/Staging/Prod) -> Shared Services VPC",Medium
8,Landing Zone,Foundation,"landing-zone, foundation, account, organization, governance",Enterprise-ready cloud foundation with governance,"AWS, Azure, GCP","Organization, Accounts/Subscriptions, IAM, Networking, Logging, Security","modules/organization, modules/accounts, modules/networking, modules/security, modules/logging","Enterprise cloud adoption, multi-team environments, compliance","Governance from day one, security baseline, scalable structure","Initial investment, ongoing maintenance, requires cloud expertise","Organization -> Core OUs -> Accounts (Security/Log/Shared) -> Spoke Accounts",High
9,GitOps Infrastructure,CI/CD,"gitops, argocd, flux, ci-cd, automation, pipeline",Infrastructure managed through Git with automated deployment,"All","Git Repository, CI/CD Pipeline, Terraform Cloud/Atlantis, State Backend","repo/environments, repo/modules, .github/workflows or atlantis.yaml","Mature teams, audit requirements, collaborative infrastructure","Version control, audit trail, review process, rollback capability","Learning curve, pipeline maintenance, secret management","GitHub -> Atlantis/TF Cloud -> Plan/Apply -> AWS/Azure/GCP",Medium
10,Event-Driven Architecture,Serverless,"event-driven, messaging, sns, sqs, eventbridge, pub-sub",Loosely coupled services communicating through events,"AWS, Azure, GCP","Event Bus, Message Queues, Lambda/Functions, Event Store","modules/events, modules/queues, modules/functions, modules/storage","Real-time processing, decoupled services, async workflows","Loose coupling, scalability, resilience, flexibility","Eventual consistency, debugging complexity, event schema management","EventBridge -> Lambda (Processor) -> SQS -> Lambda (Worker) -> DynamoDB",Medium
11,Static Website with CDN,Web Hosting,"static, cdn, s3, cloudfront, jamstack, spa",Static content served globally through CDN,"AWS, Azure, GCP","Object Storage, CDN, DNS, SSL Certificate, WAF (optional)","modules/storage, modules/cdn, modules/dns","Static websites, SPAs, marketing sites, documentation","Low cost, high performance, global reach, no server management","Limited dynamic functionality, build process required","S3 (Static) -> CloudFront (CDN) -> Route53 -> ACM (SSL)",Low
12,Container Registry Pipeline,CI/CD,"container, registry, ecr, acr, gcr, pipeline, docker",Container image build and storage pipeline,"AWS, Azure, GCP","Source Control, Build Pipeline, Container Registry, Vulnerability Scanning","modules/registry, modules/pipeline, modules/scanning","Container deployments, microservices, CI/CD pipelines","Automated builds, vulnerability scanning, versioned images","Registry costs, image pruning, security scanning configuration","GitHub -> CodeBuild/Cloud Build -> ECR/GCR (Scan) -> EKS/GKE",Low
13,Zero Trust Network,Security,"zero-trust, security, identity, access, network, bastion",Identity-based access with no implicit trust,"AWS, Azure, GCP","Identity Provider, Access Proxy, Private Endpoints, Logging","modules/identity, modules/access, modules/endpoints, modules/logging","High-security environments, remote workforce, compliance","Strong security posture, reduced attack surface, auditability","User experience friction, implementation complexity","IAM Identity Center -> Private Access -> VPC Endpoints -> Private Resources",High
14,Immutable Infrastructure,Operations,"immutable, ami, image, blue-green, rolling, deployment",Infrastructure replaced rather than modified in place,"AWS, Azure, GCP","Image Builder, Auto Scaling, Load Balancer, Blue-Green Setup","modules/images, modules/compute, modules/deployment","Consistent deployments, easy rollbacks, reduced drift","Predictable deployments, easy rollbacks, no configuration drift","Image build time, storage costs, requires automation","Packer -> AMI -> Launch Template -> ASG (Blue/Green) -> ALB",Medium
15,Hybrid Cloud Connectivity,Networking,"hybrid, vpn, direct-connect, expressroute, on-premises",Connection between cloud and on-premises infrastructure,"AWS, Azure, GCP","VPN Gateway, Direct Connect/ExpressRoute, DNS Resolution, Firewall","modules/connectivity, modules/dns, modules/security","Enterprise with on-prem, gradual migration, data residency","Leverage existing investments, gradual migration, data locality","Complexity, latency, bandwidth costs, security boundaries","On-Prem DC <-> Direct Connect/VPN <-> Transit Gateway <-> Cloud VPCs",High
16,Observability Stack,Monitoring,"monitoring, logging, tracing, metrics, observability, datadog",Complete observability with metrics logs and traces,"All","Metrics (Prometheus/CloudWatch), Logs (ELK/CloudWatch), Traces (X-Ray/Jaeger), Dashboards","modules/metrics, modules/logging, modules/tracing, modules/dashboards","Production systems, microservices, troubleshooting","Full visibility, faster debugging, performance insights","Data volume costs, alert fatigue, correlation complexity","CloudWatch/Prometheus -> Grafana + ELK/CloudWatch Logs + X-Ray/Jaeger",Medium
17,Cost-Optimized Workload,Cost Optimization,"cost, spot, reserved, savings, optimization, budget",Infrastructure optimized for cost efficiency,"AWS, Azure, GCP","Spot/Preemptible Instances, Reserved Capacity, Auto Scaling, Lifecycle Policies","modules/compute, modules/scaling, modules/lifecycle, modules/budgets","Development environments, batch processing, cost-sensitive workloads","Significant cost savings, automated optimization","Instance interruptions, capacity availability, complexity","Spot Fleet (80%) + On-Demand (20%) + Auto Scaling + S3 Lifecycle + Budget Alerts",Medium
18,Compliance-Ready Infrastructure,Security,"compliance, hipaa, soc2, pci, gdpr, audit",Infrastructure meeting regulatory compliance requirements,"AWS, Azure, GCP","Encryption, Logging, Access Controls, Audit Trail, Backup/Recovery","modules/encryption, modules/logging, modules/access, modules/backup, modules/audit","Healthcare, financial services, government, regulated industries","Compliance out of the box, audit-ready, reduced risk","Complexity, cost, ongoing maintenance, expertise required","KMS Encryption + CloudTrail + Config Rules + GuardDuty + Backup Plans",High
19,API Platform,API Management,"api, gateway, management, rate-limiting, authentication",Managed API platform with security and monitoring,"AWS, Azure, GCP","API Gateway, Authentication, Rate Limiting, Monitoring, Documentation","modules/gateway, modules/auth, modules/monitoring, modules/docs","API products, partner integrations, public APIs","Centralized management, security, analytics, developer experience","Vendor lock-in, latency overhead, cost at scale","API Gateway -> Lambda Authorizer -> Backend Services -> CloudWatch",Medium
20,Machine Learning Platform,ML/AI,"ml, machine-learning, sagemaker, vertexai, mlops",End-to-end ML platform for training and inference,"AWS, Azure, GCP","Notebook Environment, Training Infrastructure, Model Registry, Inference Endpoints","modules/notebooks, modules/training, modules/registry, modules/inference","ML/AI projects, data science teams, model deployment","Managed infrastructure, scalable training, easy deployment","Cost management, data governance, model versioning","SageMaker Studio -> Training Jobs -> Model Registry -> Endpoints",High
